understat_id,player_name,fpl_id,web_name,fpl_code
9356,Carney Chukwuemeka,161,Chukwuemeka,478912
9415,Jaden Philogene-Bidace,569,Jaden,481624
9451,Chimuanya Ugochukwu,188,Ugochukwu,503714
9453,Moisés Caicedo,157,Caicedo,486672
9461,Jesurun Rak-Sakyi,213,Rak-Sakyi,450542
9512,Valentino Livramento,633,Livramento,441191
9524,Anthony Elanga,432,Elanga,449434
9554,Tim Iroegbunam,46,Iroegbunam,490094
9556,William Osula,490,Osula,538207
9558,Hannibal Mejbri,383,Hannibal,465527
9619,Issa Kabore,602,Kaboré,476369
9662,Dango Ouattara,74,O.Dango,533463
9667,Amadou Onana,233,Onana,449871
9676,David Raya,15,Raya,154561
9677,Kristoffer Ajer,86,Ajer,191866
9678,Ethan Pinnock,104,Pinnock,231065
9679,Rico Henry,92,Henry,194010
9680,Vitaly Janelt,94,Janelt,204580
9681,Frank Onyeka,102,Onyeka,428580
9685,Mads Roerslev,105,Roerslev,226956
9689,Albert Sambi Lokonga,21,Sambi,437742
9691,Nuno Tavares,23,Tavares,437626
9733,Nathan Collins,96,Collins,432830
9740,José Sá,554,José Sá,149065
9788,Dominik Szoboszlai,309,Szoboszlai,424876
9790,Josko Gvardiol,616,Gvardiol,477424
9833,Andrew Omobamidele,711,Omobamidele,466404
9834,Remi Matthews,209,Matthews,169593
9897,Gonzalo Montiel,679,G.Montiel,218430
9912,Cameron Archer,27,Archer,433979
9913,Aaron Ramsey,675,A.Ramsey,447715
9959,Joe White,419,White,461484
9983,Beto,691,Beto,486385
10027,Lewis Dobbin,624,Dobbin,461421
10041,Yasser Larouci,592,Larouci,432990
10048,Nicolas Jackson,211,N.Jackson,517052
10050,Micky van de Ven,639,Van de Ven,491279
10118,Kaide Gordon,783,Gordon,496185
10119,Owen Beck,782,Beck,430992
10120,Conor Bradley,757,Bradley,492777
10126,James McAtee,360,McAtee,432714
10177,Evan Ferguson,123,Ferguson,487117
10187,Jarell Quansah,626,Quansah,441428
10205,Myles Peart-Harris,744,Peart-Harris,450539
10291,Vitalii Mykolenko,231,Mykolenko,224967
10292,Nathan Patterson,234,Patterson,243571
10293,Toti,567,Toti,510362
10386,Anel Ahmedhodzic,471,Ahmedhodžić,233821
10405,Josh Dasilva,90,Dasilva,183656
10408,Luis Díaz,327,Luis Díaz,244731
10433,Cesare Casadei,791,Casadei,505187
10527,Carlos Baleba,690,Baleba,535301
10552,Alejandro Garnacho,372,Garnacho,493105
10697,Ryan Gravenberch,708,Gravenberch,441266
10700,Matt Turner,28,Turner,224068
10716,Manor Solomon,502,Solomon,235674
10717,Rodrigo Muniz,279,Muniz,244042
10720,Darwin Núñez,316,Darwin,447203
10723,Stefan Bajcetic,312,Bajcetic,535928
10741,Marcus Tavernier,83,Tavernier,201658
10744,Ryan Christie,63,Christie,158499
10747,James Hill,69,Hill,463981
10756,Joe Worrall,448,Worrall,208912
10758,Harry Toffolo,444,Toffolo,114241
10802,Lisandro Martínez,380,Martinez,221820
10805,Levi Colwill,197,Colwill,460028
10806,Kaoru Mitoma,136,Mitoma,451340
10807,Jan Paul van Hecke,144,Van Hecke,469142
10822,Wilson Odobert,660,Odobert,550839
10846,Julián Álvarez,352,J.Alvarez,461358
10864,Marcos Senesi,79,Senesi,221466
10866,Luis Sinisterra,705,Sinisterra,224995
10872,Vinicius Souza,638,Vini Souza,424001
10913,André Onana,597,Onana,202641
10945,Santiago Bueno,697,S.Bueno,231480
10997,Bobby Clark,627,Clark,491970
11003,Ryan Yates,449,Yates,204968
11055,Rasmus Højlund,617,Højlund,497894
11094,Antony,365,Antony,467169
11174,Kobbie Mainoo,378,Mainoo,516895
11210,Nathan Fraser,704,Fraser,531363
11231,Ben Doak,318,Doak,496208
11232,Thomas Cannon,286,Cannon,461416
11268,David Ozoh,721,Ozoh,531989
11269,Jack Hinshelwood,621,Hinshelwood,532529
11305,Mykhailo Mudryk,179,Mudryk,465920
11317,Danilo,429,Danilo,513046
11356,Enzo Fernández,168,Enzo,448047
11357,Noni Madueke,177,Madueke,248857
11361,Daniel Bentley,536,Bentley,79602
11362,Facundo Buonanotte,117,Buonanotte,536916
11363,Antoine Semenyo,78,Semenyo,437730
11366,Jhon Durán,38,Duran,476344
11386,Lewis Miley,635,Miley,547719
11486,Illia Zabarnyi,85,Zabarnyi,477580
11487,Michael Olakigbe,620,Olakigbe,501284
11595,Alfie Gilchrist,716,Gilchrist,514280
11699,Ameen Al Dakhil,157,Al-Dakhil,487968
11700,Vitinho,182,Vitinho,441455
11701,Zeki Amdouni,594,Amdouni,492831
11703,Anass Zaroury,184,Zaroury,511783
11704,Hjalmar Ekdal,167,Ekdal,478969
11707,Jurriën Timber,6,J.Timber,445122
11709,Milos Kerkez,595,Kerkez,544877
11710,Simon Adingra,113,Adingra,535818
11711,Bart Verbruggen,146,Verbruggen,489639
11712,Thomas Kaminski,614,Kaminski,54738
11713,Amari&#039;i Bell,316,Bell,165183
11715,Mads Andersen,315,Andersen,208904
11716,Pelly Ruddock Mpanzu,582,Mpanzu,104047
11717,Carlton Morris,326,Morris,156700
11718,Elijah Adebayo,314,Adebayo,174310
11719,Chiedozie Ogbene,328,Ogbene,229164
11720,Jacob Brown,631,Brown,242453
11721,Cauley Woodrow,340,Woodrow,91046
11722,Luke Berry,317,Berry,82738
11723,Alfie Doughty,321,Doughty,244262
11728,Calvin Bassey,610,Bassey,232892
11730,Anis Ben Slimane,587,Slimane,504198
11731,Andre Brooks,655,Brooks,538210
11732,Auston Trusty,27,Trusty,201410
11772,Yehor Yarmolyuk,120,Yarmoliuk,508395
11807,Ian Maatsen,609,Maatsen,441302
11808,Andrey Santos,150,Andrey Santos,532605
11811,James McConnell,330,McConnell,491501
11815,Ben Brereton Díaz,775,Brereton Díaz,204814
11839,Gustavo Hamer,663,Hamer,196100
11903,Oscar Bobb,345,Bobb,477555
11926,Edson Álvarez,642,Álvarez,213999
11984,Youssef Chermiti,645,Y. Chermiti,491012
11987,Daniel Gore,685,Gore,504598
11998,Hannes Delcroix,674,Delcroix,247245
12027,Mohammed Kudus,689,Kudus,460842
12032,Djordje Petrovic,687,Petrović,457569
12033,Deivid Washington,165,Deivid,617054
12034,Brandon Aguilera,434,B.Aguilera,461682
12047,Enso González,547,Gonzalez,593001
12073,Teden Mengi,393,Mengi,244856
