understat_id,player_name,fpl_id,web_name,fpl_code
12094,Mike Trésor,706,M.Trésor,437748
12105,Alejo Véliz,641,Veliz,536908
12118,Jamie Donley,722,Donley,513588
12123,Murillo,696,Murillo,575476
12149,Alex Scott,644,Scott,503139
12151,Gabriel Osho,330,Osho,199056
12152,Matheus França,615,Matheus França,536694
12187,Jordan Clark,320,Clark,96784
12199,Alex Murphy,390,A.Murphy,545477
12204,Benicio Baker-Boaitey,742,Baker-Boaitey,475480
12234,Tawanda Chirewa,750,Chirewa,497606
12275,Willy Kambwala,766,Kambwala,518466
12291,Rhys Norrington-Davies,487,Norrington-Davies,443211
12340,Omari Forson,632,Forson,487828
12408,Daniel Muñoz,211,Muñoz,247348
12409,Adam Wharton,216,Wharton,496221
12412,Morgan Rogers,54,Rogers,244850
12474,George Earthy,519,Earthy,490885
12498,Valentín Barco,116,Barco,543158
12532,Leon Chiwome,539,Chiwome,589507
