id_x,full_name,games,time,goals,xG,assists_x,xA,shots,key_passes,yellow_cards_x,red_cards_x,position,team_title,team_short,npg,npxG,xGChain,xGBuildup,team_short.1,pos_x,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id_y,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,web_name_2,Team,key,pos_y,minutes,goals_scored,assists_y,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards_y,red_cards_y,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
922,Andreas Pereira,25,1501,1,2.285591887,3,3.707923245,37,31,3,0,M S,Manchester United,Man Utd,1,2.285591887,8.948890056,4.526673386,Man Utd,,,,156689,0,0,0,0,0,3,0,,0,Andreas,0,304,FALSE,,,50,156689.jpg,0,Pereira,0.1,FALSE,,a,13,1,60,0,0,0,0,0,12,Pereira,Pereira,Man Utd,Pereira Man Utd,M,1478,1,3,6,16,0,0,0,3,0,0,1,198,245.6,432.1,343,102.3,232,98,75,53,97,52,128,69
1688,Andrew Robertson,36,3114,2,1.81459292,12,7.897493236,22,60,2,0,D S,Liverpool,Liverpool,2,1.81459292,20.39599831,15.31265719,Liverpool,,,,122798,0,0,0,0,0,2,0,,0,Andrew,0,255,FALSE,,,70,122798.jpg,0,Robertson,7.9,FALSE,,a,11,14,181,0,0,0,0,0,25.9,Robertson,Robertson,Liverpool,Robertson Liverpool,D,3111,2,12,13,31,0,0,0,2,0,0,20,847,845.8,980.2,389,221.7,20,5,8,3,84,10,26,2
6274,Andriy Yarmolenko,23,979,5,2.625594977,1,3.426018501,26,19,2,0,M S,West Ham,West Ham,5,2.625594977,6.919684391,1.962578436,West Ham,,,,56377,0,0,0,0,0,3,0,,0,Andriy,0,436,FALSE,,,60,56377.jpg,0,Yarmolenko,0.3,FALSE,,a,19,21,70,0,0,0,0,0,11.7,Yarmolenko,Yarmolenko,West Ham,Yarmolenko West Ham,M,981,5,1,3,17,0,0,0,2,0,0,10,231,284.4,265.7,329,87.9,212,88,135,89,102,55,158,84
775,Andros Townsend,24,1272,1,0.3956621457,1,1.713790767,12,13,0,0,M S,Crystal Palace,Crystal Palace,1,0.3956621457,2.36252716,1.20086788,Crystal Palace,,,,60252,0,0,0,0,0,3,0,,0,Andros,0,137,FALSE,,,60,60252.jpg,0,Townsend,0.3,FALSE,,a,6,31,48,0,0,0,0,0,8,Townsend,Townsend,West Brom,Townsend West Brom,D,1284,1,1,3,23,0,0,0,0,0,0,0,221,246.4,247.1,122,61.6,230,96,142,92,214,110,225,109
537,Andy Carroll,19,582,0,1.494794494,4,0.9094429472,16,12,1,0,F S,Newcastle United,Newcastle,0,1.494794494,2.188728731,1.049436074,Newcastle,,,,40142,0,0,0,0,0,4,0,,0,Andy,0,320,FALSE,,,55,40142.jpg,0,Carroll,0.1,FALSE,,a,14,4,34,0,0,0,0,0,6.2,Carroll,Carroll,Newcastle,Carroll Newcastle,F,617,0,4,2,10,0,0,0,1,0,0,0,87,136.6,162,211,51.1,290,37,189,28,158,41,249,37
528,Angelo Ogbonna,31,2790,2,1.303147158,0,0.07013970427,13,2,4,0,D,West Ham,West Ham,2,1.303147158,2.947999261,2.816510731,West Ham,,,,40669,0,0,0,0,0,2,0,,0,Angelo,0,432,FALSE,,,50,40669.jpg,0,Ogbonna,0.3,FALSE,,a,19,21,81,0,0,0,0,0,16.2,Ogbonna,Ogbonna,West Ham,Ogbonna West Ham,D,2786,2,0,7,44,1,0,0,4,0,0,0,453,579,37.8,168,78.4,76,29,289,104,191,48,174,48
5544,Angus Gunn,10,900,0,0,0,0,0,0,0,0,GK,Southampton,Southampton,0,0,0.4860546291,0.4860546291,Southampton,,,,107265,0,0,0,0,0,1,0,,0,Angus,0,371,FALSE,,,45,107265.jpg,0,Gunn,0.5,FALSE,,a,16,20,29,0,0,0,0,0,6.4,Gunn,Gunn,Southampton,Gunn Southampton,GK,900,0,0,2,25,0,0,0,0,0,30,3,166,219.4,0,0,22.1,252,21,395,30,382,27,309,21
8150,Anthony Gordon,11,438,0,0.3270713575,1,0.3399497494,6,6,0,0,M S,Everton,Everton,0,0.3270713575,0.8956372105,0.328934893,Everton,,,,232826,0,0,0,0,0,3,0,,0,Anthony,0,168,FALSE,,,45,232826.jpg,0,Gordon,1.2,FALSE,,a,7,11,17,0,0,0,0,0,3.8,Gordon,Gordon,Everton,Gordon Everton,M,436,0,1,0,6,0,0,0,0,0,0,1,63,76,98.4,44,21.8,320,134,227,126,283,136,312,134
553,Anthony Martial,32,2672,17,13.24049478,6,4.618776655,80,30,1,0,F S,Manchester United,Man Utd,17,12.47932606,20.40956319,6.357817467,Man Utd,,,,148225,0,0,0,0,0,4,0,,0,Anthony,0,303,FALSE,,,90,148225.jpg,0,Martial,36.1,FALSE,,a,13,1,200,0,0,0,0,0,22.2,Martial,Martial,Man Utd,Martial Man Utd,F,2625,17,9,14,27,0,0,1,1,0,0,14,544,855.6,439.3,1297,259.4,19,4,71,7,11,8,15,6
1822,Antonio Rüdiger,20,1710,2,0.9304546975,0,1.177513458,12,5,3,0,D S,Chelsea,Chelsea,2,0.9304546975,6.220131254,6.190619096,Chelsea,,,,102380,0,0,0,0,0,2,0,,0,Antonio,0,109,FALSE,,,50,102380.jpg,0,Rüdiger,0.9,FALSE,,a,5,8,63,0,0,0,0,0,12.6,Rüdiger,Rüdiger,Chelsea,Rüdiger Chelsea,D,1710,2,0,5,24,1,0,0,3,0,0,5,351,389.4,93.3,194,67.7,163,60,230,69,169,37,205,63
